Edad,País / Procedencia,Idioma,Presupuesto,Días de viaje,Tipo de viaje,Problemas respiratorios,Movilidad reducida,Alergias,Comida,Naturaleza,Historia,Fotografía,Destino recomendado,Destino alternativo,Nivel de dificultad,Requiere caminata,Altura máxima tolerada,Recomendación médica,Tipo de transporte,Tour recomendado,Riesgo por altura,Apto para adulto mayor,Apto para niños
40,Rusia,Ruso,Alto,10,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Moray,Montaña de 7 Colores,Medio,Sí,3400,Aclimatación y descanso,Van,Moray Trek,Medio,No,No
28,Perú,Español,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Moray,Valle Sagrado de los Incas,Bajo,Sí,2800,Hidratación continua,Bus,Ruta Imperial,Bajo,Sí,Sí
33,Finlandia,Inglés,Alto,9,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Moray,Maras,Medio,Sí,3200,Preparación física,Van,Andes Full Tour,Medio,No,No
22,Venezuela,Español,Económico,4,Cultural,No,No,No,Sí,Sí,No,Sí,Moray,Mercado de San Pedro,Bajo,Sí,2600,Consumir agua,Bus,Backpacker Cusco,Bajo,Sí,Sí
47,Hungría,Húngaro,Alto,11,Cultural,Sí,No,No,Sí,Sí,Sí,Sí,Moray,Qenqo,Bajo,Sí,2500,Consulta médica,Bus,Cultural Andes,Bajo,Sí,Sí
30,Tailandia,Tailandés,Medio,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Moray,Puca Pucara,Medio,Sí,3000,Hidratación permanente,Bus + Caminata,Moray Adventure,Medio,No,No
35,Estados Unidos,Inglés,Alto,10,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Moray,Salkantay Trek,Medio,Sí,3400,Ropa térmica,Van,Extreme Andes,Medio,No,No
24,Perú,Español,Económico,5,Cultural,No,No,No,Sí,Sí,No,Sí,Moray,Plaza de Armas del Cusco,Bajo,Sí,2600,Descanso moderado,Bus,Ruta Cusco,Bajo,Sí,Sí
39,Canadá,Inglés,Alto,10,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Moray,Laguna Piuray,Medio,Sí,3300,Aclimatación previa,Van,Moray Nature,Medio,No,No
27,España,Español,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Moray,Ollantaytambo,Bajo,Sí,2900,Consumir mate de coca,Bus,Aventura Cultural,Bajo,Sí,Sí
42,Brasil,Portugués,Alto,9,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Moray,Camino Inca,Medio,Sí,3300,Hidratación continua,Van,Moray Premium,Medio,No,No
24,Perú,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Valle Sagrado,Medio,Sí,2900,Descansar correctamente,Bus,Pisac Full Day,Medio,Sí,Sí
31,Estados Unidos,Inglés,Alto,7,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Machu Picchu,Medio,Sí,3000,Control de presión,Bus + Tren,Cultural Pisac Tour,Medio,Sí,No
28,Argentina,Español,Económico,4,Relajación,No,No,No,Sí,Sí,No,Sí,Pisac,Sacsayhuamán,Bajo,No,2800,Hidratación y descanso,Bus,City Tour Pisac,Bajo,Sí,Sí
45,Canadá,Inglés,Alto,8,Cultural,Sí,No,No,Sí,Sí,Sí,Sí,Pisac,Ollantaytambo,Medio,Sí,2900,Preparación física,Bus,Sacred Valley Experience,Medio,Sí,No
22,Brasil,Portugués,Medio,5,Relajación,No,No,No,Sí,Sí,No,Sí,Pisac,Maras,Bajo,No,2700,Consumir líquidos,Bus,Pisac Cultural,Bajo,Sí,Sí
36,Alemania,Alemán,Alto,9,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Moray,Medio,Sí,3000,Aclimatación previa,Bus + Caminata,Andes Heritage Tour,Medio,Sí,No
27,Francia,Francés,Medio,6,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Chinchero,Medio,Sí,2900,Hidratación adecuada,Bus,Pisac Explorer,Medio,Sí,Sí
33,Chile,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Qorikancha,Bajo,No,2800,Ropa adecuada,Bus,Cultural Cusco Tour,Bajo,Sí,Sí
29,Japón,Japonés,Alto,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Pisac,Machu Picchu,Medio,Sí,3000,Aclimatación previa,Bus + Tren,Premium Pisac Tour,Medio,Sí,No
41,Italia,Italiano,Alto,10,Naturaleza,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Laguna Humantay,Medio,Sí,3100,Hidratación constante,Bus,Valle Sagrado Deluxe,Medio,Sí,No
23,México,Español,Económico,4,Cultural,No,No,No,Sí,Sí,No,Sí,Pisac,Centro Histórico,Bajo,No,2700,Consumir mate de coca,Bus,Backpacker Pisac,Bajo,Sí,Sí
38,Reino Unido,Inglés,Alto,9,Aventura,No,No,No,Sí,Sí,Sí,Sí,Pisac,Salkantay Trek,Medio,Sí,3000,Aclimatación obligatoria,Bus + Caminata,Andean Journey,Medio,Sí,No
26,España,Español,Medio,5,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Puca Pucara,Bajo,No,2800,Hidratación permanente,Bus,Ruta Cultural Pisac,Bajo,Sí,Sí
34,China,Chino,Alto,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Pisac,Maras,Medio,Sí,3000,Descansar previamente,Bus,Sacred Valley Tour,Medio,Sí,No
30,Corea del Sur,Coreano,Alto,7,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Ollantaytambo,Medio,Sí,2900,Usar bloqueador solar,Bus,Pisac Andes Tour,Medio,Sí,No
25,Colombia,Español,Económico,4,Relajación,No,No,No,Sí,Sí,No,Sí,Pisac,San Blas,Bajo,No,2700,Aclimatación en Cusco,Bus,Cultural Experience,Bajo,Sí,Sí
44,Suiza,Alemán,Alto,10,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Camino Inca,Medio,Sí,3100,Consumir líquidos,Bus + Caminata,Pisac Elite Tour,Medio,Sí,No
27,Ecuador,Español,Medio,5,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Tipón,Bajo,No,2800,Preparación física,Bus,Cusco Heritage,Bajo,Sí,Sí
39,Países Bajos,Inglés,Alto,9,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Pisac,Nevado Salkantay,Medio,Sí,3000,Descansar correctamente,Bus,Andes Nature Tour,Medio,Sí,No
24,Perú,Español,Económico,4,Cultural,No,No,No,Sí,Sí,No,Sí,Pisac,Plaza de Armas,Bajo,No,2700,Llevar snacks energéticos,Bus,Pisac Backpacker,Bajo,Sí,Sí
42,Bélgica,Francés,Alto,8,Cultural,Sí,No,No,Sí,Sí,Sí,Sí,Pisac,Qenqo,Medio,Sí,2900,Hidratación constante,Bus,Cultural Andes Tour,Medio,Sí,No
30,Turquía,Turco,Medio,6,Aventura,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Pisac Ruinas,Medio,Sí,3000,Ropa térmica,Bus + Caminata,Pisac Hiking,Medio,Sí,No
35,India,Inglés,Alto,8,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Pisac,Maras,Medio,Sí,3000,Consumir mate de coca,Bus,Andean Trek Tour,Medio,Sí,No
21,Bolivia,Español,Económico,4,Cultural,No,No,No,Sí,Sí,No,Sí,Pisac,Catedral Cusco,Bajo,No,2600,Aclimatación previa,Bus,Cusco Backpacker,Bajo,Sí,Sí
46,Noruega,Inglés,Alto,11,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Montaña 7 Colores,Medio,Sí,3100,Hidratación adecuada,Bus,Adventure Premium,Medio,Sí,No
28,Portugal,Portugués,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Valle Sagrado,Bajo,No,2800,Consumir agua,Bus,Ruta Cusco,Bajo,Sí,Sí
32,Israel,Hebreo,Alto,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Pisac,Laguna Piuray,Medio,Sí,3000,Preparación física,Bus,Pisac Andes Tour,Medio,Sí,No
24,Perú,Español,Económico,4,Cultural,No,No,Sí,Sí,Sí,No,Sí,Pisac,San Blas,Bajo,No,2700,Evitar comidas pesadas,Bus,Cultural Trek,Bajo,Sí,Sí
41,Irlanda,Inglés,Alto,9,Aventura,No,No,No,Sí,Sí,Sí,Sí,Pisac,Salkantay Trek,Medio,Sí,3000,Hidratación y descanso,Bus + Caminata,Pisac Full Adventure,Medio,Sí,No
26,Sudáfrica,Inglés,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Ollantaytambo,Medio,Sí,2900,Descansar bien,Bus + Caminata,Aventura Cusco,Medio,Sí,No
34,Filipinas,Inglés,Medio,5,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Moray,Bajo,No,2800,Aclimatación obligatoria,Bus,Ruta Andina,Bajo,Sí,Sí
29,Marruecos,Árabe,Económico,4,Cultural,No,No,No,Sí,Sí,No,Sí,Pisac,Catedral Cusco,Bajo,No,2600,Evitar alcohol,Bus,Cultural Cusco,Bajo,Sí,Sí
43,Suecia,Inglés,Alto,10,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Pisac,Nevado Salkantay,Medio,Sí,3100,Descanso previo,Bus,Pisac Extreme,Medio,Sí,No
27,Indonesia,Indonesio,Medio,6,Aventura,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Tambomachay,Medio,Sí,2900,Hidratación básica,Bus + Caminata,Aventura Andes,Medio,Sí,No
38,Dinamarca,Inglés,Alto,9,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Pisac,Camino Inca,Medio,Sí,3000,Consumir agua constantemente,Bus,Pisac Explorer,Medio,Sí,No
23,Uruguay,Español,Económico,4,Relajación,No,No,No,Sí,Sí,No,Sí,Pisac,Sacsayhuamán,Bajo,No,2600,Usar protector solar,Bus,Cusco Aventura,Bajo,Sí,Sí
45,Austria,Alemán,Alto,10,Cultural,Sí,No,Sí,Sí,Sí,Sí,Sí,Pisac,Qorikancha,Medio,Sí,2800,Medicamentos básicos,Bus,Tour Cultural,Medio,Sí,No
31,Costa Rica,Español,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Pisac Ruinas,Medio,Sí,2900,Descanso moderado,Bus + Caminata,Ruta Trekking,Medio,Sí,No
25,Nueva Zelanda,Inglés,Alto,8,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Pisac,Laguna Humantay,Medio,Sí,3000,Aclimatación y descanso,Bus,Andean Adventure,Medio,Sí,No
36,Paraguay,Español,Económico,5,Cultural,No,No,Sí,Sí,Sí,No,Sí,Pisac,Centro Histórico,Bajo,No,2700,Hidratación continua,Bus,Cultural Explorer,Bajo,Sí,Sí
40,Rusia,Ruso,Alto,9,Aventura,No,No,No,Sí,Sí,Sí,Sí,Pisac,Montaña 7 Colores,Medio,Sí,3100,Preparación física,Bus,Pisac Trek,Medio,Sí,No
28,Perú,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Valle Sagrado,Bajo,No,2800,Consumir líquidos,Bus,Ruta Imperial,Bajo,Sí,Sí
33,Finlandia,Inglés,Alto,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Maras,Medio,Sí,3000,Consulta médica,Bus,Andes Full Tour,Medio,Sí,No
22,Venezuela,Español,Económico,4,Cultural,No,No,No,Sí,Sí,No,Sí,Pisac,San Pedro,Bajo,No,2600,Hidratación permanente,Bus,Backpacker Cusco,Bajo,Sí,Sí
47,Hungría,Húngaro,Alto,11,Cultural,Sí,No,No,Sí,Sí,Sí,Sí,Pisac,Qenqo,Medio,Sí,2900,Ropa térmica,Bus,Cultural Andes,Medio,Sí,No
30,Tailandia,Tailandés,Medio,6,Aventura,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Puca Pucara,Medio,Sí,2900,Aclimatación previa,Bus + Caminata,Pisac Adventure,Medio,Sí,No
35,Estados Unidos,Inglés,Alto,9,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Pisac,Salkantay Trek,Medio,Sí,3100,Consumir mate de coca,Bus,Extreme Andes,Medio,Sí,No
24,Perú,Español,Económico,4,Cultural,No,No,No,Sí,Sí,No,Sí,Pisac,Plaza de Armas,Bajo,No,2600,Hidratación continua,Bus,Ruta Cusco,Bajo,Sí,Sí
39,Canadá,Inglés,Alto,8,Naturaleza,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Laguna Piuray,Medio,Sí,3000,Descanso correcto,Bus,Pisac Nature,Medio,Sí,No
27,España,Español,Medio,5,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Ollantaytambo,Bajo,No,2800,Control médico,Bus,Aventura Cultural,Bajo,Sí,Sí
42,Brasil,Portugués,Alto,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,Pisac,Camino Inca,Medio,Sí,3000,Hidratación y descanso,Bus,Pisac Premium,Medio,Sí,No
29,Australia,Inglés,Alto,7,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Pisac,Moray,Medio,Sí,3000,Preparación física,Bus,Andes Explorer,Medio,Sí,No
26,Perú,Español,Medio,5,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Pisac,Chinchero,Bajo,No,2800,Consumir líquidos,Bus,Cultural Valle Tour,Bajo,Sí,Sí
37,Alemania,Alemán,Alto,9,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Pisac,Nevado Salkantay,Medio,Sí,3100,Aclimatación previa,Bus,Andean Premium,Medio,Sí,No
29,Australia,Inglés,Alto,10,Aventura,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Machu Picchu,Alto,Sí,3200,Hidratación adecuada,Bus + Caminata,Choquequirao 4D3N,Alto,No,No
34,Perú,Español,Medio,8,Trekking,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Salkantay Trek,Alto,Sí,3400,Ropa adecuada,Bus + Trekking,Choquequirao Full Trek,Alto,No,No
27,Estados Unidos,Inglés,Alto,9,Aventura,No,No,Sí,Sí,Sí,No,Sí,Choquequirao,Camino Inca,Alto,Sí,3000,Llevar medicamentos,Avión + Bus,Aventura Choquequirao,Alto,No,No
41,Canadá,Inglés,Alto,11,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Laguna Humantay,Alto,Sí,3300,Usar ropa ligera,Trekking,Trekking Choquequirao,Alto,No,No
24,Argentina,Español,Económico,7,Aventura,No,No,No,Sí,Sí,No,Sí,Choquequirao,Valle Sagrado,Medio,Sí,2800,Hidratación adecuada,Bus + Caminata,Ruta Andina,Medio,No,No
38,Alemania,Alemán,Alto,12,Trekking,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Nevado Salkantay,Alto,Sí,3400,Control médico,Trekking,Aventura Andes,Alto,No,No
30,Francia,Francés,Medio,8,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Moray,Alto,Sí,3100,Llevar snacks energéticos,Bus + Trek,Choquequirao Explorer,Alto,No,No
22,Brasil,Portugués,Medio,6,Aventura,No,No,No,Sí,Sí,No,Sí,Choquequirao,Pisac,Medio,Sí,2900,Descanso moderado,Bus,Cusco Trekking,Medio,No,No
45,Chile,Español,Alto,10,Cultural,Sí,No,No,Sí,Sí,Sí,Sí,Choquequirao,Qorikancha,Medio,Sí,2500,Consultar médico,Bus,Cultural Trek,Medio,No,No
28,Japón,Japonés,Alto,9,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Machu Picchu,Alto,Sí,3300,Llevar snacks energéticos,Trekking,Choquequirao Premium,Alto,No,No
36,Italia,Italiano,Medio,7,Aventura,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Maras,Alto,Sí,3000,Usar bloqueador solar,Bus + Trek,Ruta Inca,Alto,No,No
31,México,Español,Medio,8,Cultural,No,No,No,Sí,Sí,No,Sí,Choquequirao,Sacsayhuamán,Medio,Sí,2800,Hidratación constante,Bus,Aventura Cusco,Medio,No,No
40,Reino Unido,Inglés,Alto,13,Trekking,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Salkantay Trek,Alto,Sí,3400,Aclimatación recomendada,Trekking,Andes Experience,Alto,No,No
26,España,Español,Medio,6,Cultural,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Pikillacta,Medio,Sí,2700,Consumir agua frecuentemente,Bus,Cusco Nature,Medio,No,No
33,China,Chino,Alto,10,Fotografía,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Laguna Humantay,Alto,Sí,3200,Llevar ropa térmica,Trekking,Choquequirao Andes,Alto,No,No
37,Corea del Sur,Coreano,Alto,9,Aventura,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Moray,Alto,Sí,3100,Hidratación permanente,Bus + Caminata,Aventura Extrema,Alto,No,No
23,Colombia,Español,Económico,5,Cultural,No,No,No,Sí,Sí,No,Sí,Choquequirao,Centro Histórico,Medio,Sí,2600,Descansar adecuadamente,Bus,Ruta Cultural,Medio,No,No
44,Suiza,Alemán,Alto,12,Trekking,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Camino Inca,Alto,Sí,3400,Aclimatación previa,Trekking,Choquequirao Elite,Alto,No,No
27,Ecuador,Español,Medio,7,Aventura,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Tipón,Medio,Sí,2900,Evitar comidas pesadas,Bus,Cusco Adventure,Medio,No,No
39,Países Bajos,Inglés,Alto,11,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Nevado Salkantay,Alto,Sí,3300,Hidratación y descanso,Trekking,Choquequirao Nature,Alto,No,No
25,Perú,Español,Económico,6,Cultural,No,No,No,Sí,Sí,No,Sí,Choquequirao,Puca Pucara,Medio,Sí,2700,Consumir mate de coca,Bus,Cusco Explorer,Medio,No,No
42,Bélgica,Francés,Alto,10,Cultural,Sí,No,No,Sí,Sí,Sí,Sí,Choquequirao,Qenqo,Medio,Sí,2500,Control médico,Bus,Cultural Andes,Medio,No,No
30,Turquía,Turco,Medio,8,Trekking,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Pisac,Alto,Sí,3000,Llevar medicamentos,Bus + Trek,Choquequirao Hiking,Alto,No,No
35,India,Inglés,Alto,9,Aventura,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Maras,Alto,Sí,3200,Usar ropa ligera,Trekking,Andean Trek,Alto,No,No
21,Bolivia,Español,Económico,5,Cultural,No,No,No,Sí,Sí,No,Sí,Choquequirao,Plaza de Armas,Medio,Sí,2600,Hidratación adecuada,Bus,Cusco Backpacker,Medio,No,No
46,Noruega,Inglés,Alto,12,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Montaña 7 Colores,Alto,Sí,3400,Aclimatación obligatoria,Trekking,Aventura Premium,Alto,No,No
28,Portugal,Portugués,Medio,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Valle Sagrado,Medio,Sí,2800,Evitar alcohol,Bus,Ruta Cusco,Medio,No,No
32,Israel,Hebreo,Alto,10,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Laguna Piuray,Alto,Sí,3200,Descanso previo,Trekking,Choquequirao Andes,Alto,No,No
24,Perú,Español,Económico,6,Cultural,No,No,Sí,Sí,Sí,No,Sí,Choquequirao,San Blas,Medio,Sí,2700,Consumir líquidos,Bus,Cultural Trek,Medio,No,No
41,Irlanda,Inglés,Alto,11,Trekking,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Salkantay Trek,Alto,Sí,3300,Hidratación constante,Trekking,Choquequirao Full Adventure,Alto,No,No
26,Sudáfrica,Inglés,Medio,8,Aventura,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Ollantaytambo,Alto,Sí,3000,Usar bloqueador,Bus + Trek,Aventura Cusco,Alto,No,No
34,Filipinas,Inglés,Medio,7,Trekking,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Moray,Medio,Sí,2900,Medicamentos básicos,Bus,Ruta Andina,Medio,No,No
29,Marruecos,Árabe,Económico,5,Cultural,No,No,No,Sí,Sí,No,Sí,Choquequirao,Catedral Cusco,Medio,Sí,2600,Descanso adecuado,Bus,Cultural Cusco,Medio,No,No
43,Suecia,Inglés,Alto,13,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Nevado Salkantay,Alto,Sí,3400,Aclimatación y descanso,Trekking,Choquequirao Extreme,Alto,No,No
27,Indonesia,Indonesio,Medio,9,Aventura,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Tambomachay,Alto,Sí,3100,Hidratación continua,Bus + Trek,Aventura Andes,Alto,No,No
38,Dinamarca,Inglés,Alto,10,Trekking,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Camino Inca,Alto,Sí,3300,Preparación física,Trekking,Choquequirao Explorer,Alto,No,No
23,Uruguay,Español,Económico,4,Cultural,No,No,No,Sí,Sí,No,Sí,Choquequirao,Sacsayhuamán,Medio,Sí,2500,Consumir agua,Bus,Cusco Aventura,Medio,No,No
45,Austria,Alemán,Alto,12,Cultural,Sí,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Qorikancha,Medio,Sí,2400,Consulta médica,Bus,Tour Cultural,Medio,No,No
31,Costa Rica,Español,Medio,8,Aventura,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Pisac,Alto,Sí,3000,Hidratación permanente,Bus + Caminata,Ruta Trekking,Alto,No,No
25,Nueva Zelanda,Inglés,Alto,9,Naturaleza,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Laguna Humantay,Alto,Sí,3200,Ropa térmica,Trekking,Andean Adventure,Alto,No,No
36,Paraguay,Español,Económico,6,Cultural,No,No,Sí,Sí,Sí,No,Sí,Choquequirao,Centro Histórico,Medio,Sí,2700,Descanso moderado,Bus,Cultural Explorer,Medio,No,No
40,Rusia,Ruso,Alto,11,Trekking,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Montaña 7 Colores,Alto,Sí,3400,Aclimatación previa,Trekking,Choquequirao Trek,Alto,No,No
28,Perú,Español,Medio,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Valle Sagrado,Medio,Sí,2800,Consumir mate de coca,Bus,Ruta Imperial,Medio,No,No
33,Finlandia,Inglés,Alto,10,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Maras,Alto,Sí,3200,Hidratación continua,Trekking,Andes Full Trek,Alto,No,No
22,Venezuela,Español,Económico,5,Cultural,No,No,No,Sí,Sí,No,Sí,Choquequirao,San Pedro,Medio,Sí,2600,Descansar correctamente,Bus,Backpacker Cusco,Medio,No,No
47,Hungría,Húngaro,Alto,13,Cultural,Sí,No,No,Sí,Sí,Sí,Sí,Choquequirao,Qenqo,Medio,Sí,2500,Control de presión,Bus,Cultural Andes,Medio,No,No
30,Tailandia,Tailandés,Medio,8,Aventura,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Puca Pucara,Alto,Sí,3000,Hidratación y descanso,Bus + Trek,Choquequirao Adventure,Alto,No,No
35,Estados Unidos,Inglés,Alto,12,Trekking,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Salkantay Trek,Alto,Sí,3400,Preparación física,Trekking,Extreme Andes,Alto,No,No
24,Perú,Español,Económico,6,Cultural,No,No,No,Sí,Sí,No,Sí,Choquequirao,Plaza de Armas,Medio,Sí,2600,Consumir líquidos,Bus,Ruta Cusco,Medio,No,No
39,Canadá,Inglés,Alto,11,Naturaleza,No,No,Sí,Sí,Sí,Sí,Sí,Choquequirao,Laguna Piuray,Alto,Sí,3300,Aclimatación previa,Trekking,Choquequirao Nature,Alto,No,No
27,España,Español,Medio,7,Cultural,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Ollantaytambo,Medio,Sí,2900,Hidratación adecuada,Bus,Aventura Cultural,Medio,No,No
42,Brasil,Portugués,Alto,10,Aventura,No,No,No,Sí,Sí,Sí,Sí,Choquequirao,Camino Inca,Alto,Sí,3300,Ropa adecuada,Trekking,Choquequirao Premium,Alto,No,No
29,Australia,Inglés,Alto,8,Mochilero,No,No,No,Sí,Sí,Sí,Sí,Tipón,Valle Sagrado,Medio,Sí,3100,Hidratación constante,Bus,Tipón Cultural,Medio,Sí,Sí
34,Perú,Español,Medio,5,Relajación,No,No,No,Sí,Sí,Sí,No,Tipón,Qorikancha,Bajo,No,2900,Descansar adecuadamente,Bus,City Tour Cusco,Bajo,Sí,Sí
27,Estados Unidos,Inglés,Alto,7,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Tipón,Pisac,Medio,Sí,3000,Llevar medicamentos,Bus + Caminata,Ruta Arqueológica,Medio,Sí,Sí
41,Canadá,Inglés,Alto,9,Cultural,No,No,No,Sí,Sí,Sí,Sí,Tipón,Ollantaytambo,Medio,Sí,3200,Aclimatación previa,Bus,Tour Valle Sur,Medio,Sí,No
24,Argentina,Español,Económico,4,Relajación,No,No,No,Sí,Sí,No,Sí,Tipón,Sacsayhuamán,Bajo,No,2800,Consumir agua,Bus,Cusco Tradicional,Bajo,Sí,Sí
38,Alemania,Alemán,Alto,10,Aventura,No,No,No,Sí,Sí,Sí,Sí,Tipón,Moray,Medio,Sí,3200,Usar bloqueador solar,Bus + Tren,Circuito Inca,Medio,Sí,No
30,Francia,Francés,Medio,6,Fotografía,No,No,Sí,Sí,Sí,Sí,Sí,Tipón,Maras,Medio,Sí,3000,Hidratación frecuente,Bus,Tour Cultural,Medio,Sí,Sí
22,Brasil,Portugués,Medio,5,Cultural,No,No,No,Sí,Sí,No,Sí,Tipón,Barrio San Blas,Bajo,No,2800,Descanso moderado,Bus,City Tour,Bajo,Sí,Sí
45,Chile,Español,Alto,8,Gastronómico,Sí,No,No,Sí,Sí,Sí,Sí,Tipón,Catedral Cusco,Bajo,No,2600,Consultar médico,Bus,Tour Religioso,Bajo,Sí,Sí
28,Japón,Japonés,Alto,7,Relajación,No,No,Sí,Sí,Sí,Sí,Sí,Tipón,Machu Picchu,Medio,Sí,3100,Llevar snacks,Bus + Tren,Cusco Imperial,Medio,Sí,No
36,Italia,Italiano,Medio,6,Mochilero,No,No,No,Sí,Sí,Sí,Sí,Tipón,Puca Pucara,Medio,Sí,3000,Usar sombrero,Bus,Ruta Andina,Medio,Sí,Sí
31,México,Español,Medio,5,Fotografía,No,No,No,Sí,Sí,No,Sí,Tipón,Qenqo,Bajo,No,2800,Hidratación constante,Bus,Tour Cusco,Bajo,Sí,Sí
40,Reino Unido,Inglés,Alto,9,Cultural,No,No,Sí,Sí,Sí,Sí,Sí,Tipón,Camino Inca,Medio,Sí,3200,Aclimatación recomendada,Bus + Trek,Ruta Patrimonial,Medio,Sí,No
26,España,Español,Medio,5,Aventura,No,No,No,Sí,Sí,Sí,Sí,Tipón,Plaza de Armas,Bajo,No,2800,Consumir líquidos,Bus,City Experience,Bajo,Sí,Sí
33,China,Chino,Alto,8,Cultural,No,No,No,Sí,Sí,Sí,Sí,Tipón,Laguna Humantay,Medio,Sí,3100,Ropa cómoda,Bus + Caminata,Tour Andes,Medio,Sí,No
37,Corea del Sur,Coreano,Alto,7,Relajación,No,No,Sí,Sí,Sí,Sí,Sí,Tipón,Moray,Medio,Sí,3000,Hidratación permanente,Bus,Tipón Explorer,Medio,Sí,Sí
23,Colombia,Español,Económico,4,Mochilero,No,No,No,Sí,Sí,No,Sí,Tipón,Mercado San Pedro,Bajo,No,2700,Descanso adecuado,Bus,Cusco Económico,Bajo,Sí,Sí
